Repo URL,Satd Comment Id,File Path Of First Occurence,File Path Of Last Occurence,renamed,Keyword,SATD Comment,context,bloc of first occurrence,bloc type of first occurrence,bloc of last occurrence,bloc type of last occurrence,SATD Comment Line Of First Occurence,SATD Comment Line Of Last Occurence,first Commit Hash,last Commit Hash,Link To The File Of First Occurence,Link To The File Of Last Occurence/When Adressed,Introduction Time,Last Occurence (even solved or not),number of commits,adressed ?
https://github.com/mozilla/hubs-ops,86,terraform/modules/janus/main.tf,terraform/modules/janus/main.tf,0,todo,# TODO this causes large Janus CPU spike,"# TODO this causes large Janus CPU spike 
 # sudo sed -i ""s/#RateLimitBurst=1000/RateLimitBurst=5000/"" /etc/systemd/journald.conf 
 # sudo systemctl restart systemd-journald ",,,the block associated got renamed or deleted,,194,,2dff320c4c7d228f976cc44a86231799b5a691c0,f3000a3d9ef7d3cc6292780c2ea1f88b98bededd,https://github.com/mozilla/hubs-ops/blob/2dff320c4c7d228f976cc44a86231799b5a691c0/terraform/modules/janus/main.tf#L194,https://github.com/mozilla/hubs-ops/blob/f3000a3d9ef7d3cc6292780c2ea1f88b98bededd/terraform/modules/janus/main.tf,2018-05-29 21:59:16+00:00,2018-06-27 13:47:45-07:00,6,1
https://github.com/Worklytics/psoxy,380,infra/examples-dev/aws-google-workspace/main.tf,infra/examples-dev/aws-google-workspace/main.tf,0,implementation,# other possibly implementations:,"# source = ""git::https://github.com/worklytics/psoxy//infra/modules/aws-ssm-secrets?ref=v0.4.4"" 
 # other possibly implementations: 
 # source = ""../../modules/hashicorp-vault-secrets"" 
 # source = ""git::https://github.com/worklytics/psoxy//infra/modules/hashicorp-vault-secrets?ref=v0.4.4"" ",,,the block associated got renamed or deleted,,149,,a772d22c472e6f10bc22e0ee99f664835aa586a0,91db9f7da096aafa4756d2d2d2ea56d3bb9bbf7b,https://github.com/Worklytics/psoxy/blob/a772d22c472e6f10bc22e0ee99f664835aa586a0/infra/examples-dev/aws-google-workspace/main.tf#L149,https://github.com/Worklytics/psoxy/blob/91db9f7da096aafa4756d2d2d2ea56d3bb9bbf7b/infra/examples-dev/aws-google-workspace/main.tf,2022-09-29 17:43:37-07:00,2022-10-05 15:47:11-07:00,3,1
https://github.com/alphagov/govuk-aws,934,terraform/projects/infra-security-groups/documentdb.tf,terraform/projects/infra-security-groups/documentdb.tf,0,# todo,# TODO: Add an entry for the security group containing the Licensify instances.,# TODO: Add an entry for the security group containing the Licensify instances.,,,the block associated got renamed or deleted,,34,,6db6a5e2795f7982b01622e573bc0eac6c381226,c2ebb0c630d6078ef4b331d148b16eeaeac1dce6,https://github.com/alphagov/govuk-aws/blob/6db6a5e2795f7982b01622e573bc0eac6c381226/terraform/projects/infra-security-groups/documentdb.tf#L34,https://github.com/alphagov/govuk-aws/blob/c2ebb0c630d6078ef4b331d148b16eeaeac1dce6/terraform/projects/infra-security-groups/documentdb.tf,2019-08-05 11:41:42+01:00,2019-08-15 15:26:29+01:00,4,1
https://github.com/aws-observability/terraform-aws-observability-accelerator,49,workloads/infra/rules.tf,modules/workloads/infra/rules.tf,1,crap,"#         expr: node_textfile_scrape_error{job=""node-exporter""} == 1",,,,the block associated got renamed or deleted,,624,,de50a0dfb5dd8a18a6b206ead81a49679b85a857,60ab8b13bf236ceb04960b343b36383241d813db,https://github.com/aws-observability/terraform-aws-observability-accelerator/blob/de50a0dfb5dd8a18a6b206ead81a49679b85a857/workloads/infra/rules.tf#L624,https://github.com/aws-observability/terraform-aws-observability-accelerator/blob/60ab8b13bf236ceb04960b343b36383241d813db/modules/workloads/infra/rules.tf,2022-08-26 17:30:03+02:00,2022-08-26 17:30:03+02:00,2,1
https://github.com/pingcap/tidb-operator,91,deploy/modules/gcp/tidb-cluster/data.tf,deploy/modules/gcp/tidb-cluster/data.tf,0,todo,# TODO Update related code when node locations is available in attributes of cluster resource.,# TODO Update related code when node locations is available in attributes of cluster resource.,,,,,24,24.0,32e1f58b34ea891d653e436f263485578df5ce63,32e1f58b34ea891d653e436f263485578df5ce63,https://github.com/pingcap/tidb-operator/blob/32e1f58b34ea891d653e436f263485578df5ce63/deploy/modules/gcp/tidb-cluster/data.tf#L24,https://github.com/pingcap/tidb-operator/blob/32e1f58b34ea891d653e436f263485578df5ce63/deploy/modules/gcp/tidb-cluster/data.tf#L24,2020-07-23 15:01:18+08:00,2020-07-23 15:01:18+08:00,1,0
https://github.com/terraform-aws-modules/terraform-aws-eks,70,main.tf,main.tf,0,fix,"/** # terraform-aws-eks  * A terraform module to create a managed Kubernetes cluster on AWS EKS. Available * through the [Terraform registry](https://registry.terraform.io/modules/terraform-aws-modules/eks/aws). * Inspired by and adapted from [this doc](https://www.terraform.io/docs/providers/aws/guides/eks-getting-started.html) * and its [source code](https://github.com/terraform-providers/terraform-provider-aws/tree/master/examples/eks-getting-started). * Read the [AWS docs on EKS to get connected to the k8s dashboard](https://docs.aws.amazon.com/eks/latest/userguide/dashboard-tutorial.html).  * | Branch | Build status                                                                                                                                                      | * | ------ | ----------------------------------------------------------------------------------------------------------------------------------------------------------------- | * | master | [![build Status](https://travis-ci.org/terraform-aws-modules/terraform-aws-eks.svg?branch=master)](https://travis-ci.org/terraform-aws-modules/terraform-aws-eks) |  * ## Assumptions  ** You want to create an EKS cluster and an autoscaling group of workers for the cluster. ** You want these resources to exist within security groups that allow communication and coordination. These can be user provided or created within the module. ** You've created a Virtual Private Cloud (VPC) and subnets where you intend to put the EKS resources. ** If `manage_aws_auth = true`, it's required that both [`kubectl`](https://kubernetes.io/docs/tasks/tools/install-kubectl/#install-kubectl) (>=1.10) and [`aws-iam-authenticator`](https://github.com/kubernetes-sigs/aws-iam-authenticator#4-set-up-kubectl-to-use-authentication-tokens-provided-by-aws-iam-authenticator-for-kubernetes) are installed and on your shell's PATH.  * ## Usage example  * A full example leveraging other community modules is contained in the [examples/eks_test_fixture directory](https://github.com/terraform-aws-modules/terraform-aws-eks/tree/master/examples/eks_test_fixture). Here's the gist of using it via the Terraform registry:  * ```hcl * module ""eks"" { *   source                = ""terraform-aws-modules/eks/aws"" *   cluster_name          = ""test-eks-cluster"" *   subnets               = [""subnet-abcde012"", ""subnet-bcde012a""] *   tags                  = {Environment = ""test""} *   vpc_id                = ""vpc-abcde012"" * } * ```  * ## Other Documentation * * - [Autoscaling](docs/autoscaling.md): How to enabled worker node autoscaling.  * ## Release schedule  * Generally the maintainers will try to release the module once every 2 weeks to * keep up with PR additions. If particularly pressing changes are added or maintainers * come up with the spare time (hah!), release may happen more often on occasion.  * ## Testing  * This module has been packaged with [awspec](https://github.com/k1LoW/awspec) tests through [kitchen](https://kitchen.ci/) and [kitchen-terraform](https://newcontext-oss.github.io/kitchen-terraform/). To run them:  * 1. Install [rvm](https://rvm.io/rvm/install) and the ruby version specified in the [Gemfile](https://github.com/terraform-aws-modules/terraform-aws-eks/tree/master/Gemfile). * 2. Install bundler and the gems from our Gemfile: * *     ```bash *     gem install bundler && bundle install *     ``` * * 3. Ensure your AWS environment is configured (i.e. credentials and region) for test. * 4. Test using `bundle exec kitchen test` from the root of the repo.  * For now, connectivity to the kubernetes cluster is not tested but will be in the * future. Once the test fixture has converged, you can query the test cluster from * that terminal session with * ```bash * kubectl get nodes --watch --kubeconfig kubeconfig * ``` * (using default settings `config_output_path = ""./""` & `write_kubeconfig = true`)  * ## Doc generation  * Documentation should be modified within `main.tf` and generated using [terraform-docs](https://github.com/segmentio/terraform-docs). * * Install it with `go get github.com/segmentio/terraform-docs` or `brew install terraform-docs` and then use it to generate the `README.md` file: * * ``` * terraform-docs --with-aggregate-type-defaults md ./ | cat -s | tail -r | tail -n +2 | tail -r > README.md * ```  * ## Contributing  * Report issues/questions/feature requests on in the [issues](https://github.com/terraform-aws-modules/terraform-aws-eks/issues/new) section.  * Full contributing [guidelines are covered here](https://github.com/terraform-aws-modules/terraform-aws-eks/blob/master/CONTRIBUTING.md).  * ## IAM Permissions  * Testing and using this repo requires a minimum set of IAM permissions. Test permissions * are listed in the [eks_test_fixture README](https://github.com/terraform-aws-modules/terraform-aws-eks/tree/master/examples/eks_test_fixture/README.md).  * ## Change log  * The [changelog](https://github.com/terraform-aws-modules/terraform-aws-eks/tree/master/CHANGELOG.md) captures all important release notes.  * ## Authors  * Created and maintained by [Brandon O'Connor](https://github.com/brandoconnor) - brandon@atscale.run. * Many thanks to [the contributors listed here](https://github.com/terraform-aws-modules/terraform-aws-eks/graphs/contributors)!  * ## License  * MIT Licensed. See [LICENSE](https://github.com/terraform-aws-modules/terraform-aws-eks/tree/master/LICENSE) for full details.*/","/** 
 # terraform-aws-eks 
  
 * A terraform module to create a managed Kubernetes cluster on AWS EKS. Available 
 * through the [Terraform registry](https://registry.terraform.io/modules/terraform-aws-modules/eks/aws). 
 * Inspired by and adapted from [this doc](https://www.terraform.io/docs/providers/aws/guides/eks-getting-started.html) 
 * and its [source code](https://github.com/terraform-providers/terraform-provider-aws/tree/master/examples/eks-getting-started). 
 * Read the [AWS docs on EKS to get connected to the k8s dashboard](https://docs.aws.amazon.com/eks/latest/userguide/dashboard-tutorial.html). 
  
 * | Branch | Build status                                                                                                                                                      | 
 * | ------ | ----------------------------------------------------------------------------------------------------------------------------------------------------------------- | 
 * | master | [![build Status](https://travis-ci.org/terraform-aws-modules/terraform-aws-eks.svg?branch=master)](https://travis-ci.org/terraform-aws-modules/terraform-aws-eks) | 
  
 * ## Assumptions 
  
 ** You want to create an EKS cluster and an autoscaling group of workers for the cluster. 
 ** You want these resources to exist within security groups that allow communication and coordination. These can be user provided or created within the module. 
 ** You've created a Virtual Private Cloud (VPC) and subnets where you intend to put the EKS resources. 
 ** If `manage_aws_auth = true`, it's required that both [`kubectl`](https://kubernetes.io/docs/tasks/tools/install-kubectl/#install-kubectl) (>=1.10) and [`aws-iam-authenticator`](https://github.com/kubernetes-sigs/aws-iam-authenticator#4-set-up-kubectl-to-use-authentication-tokens-provided-by-aws-iam-authenticator-for-kubernetes) are installed and on your shell's PATH. 
  
 * ## Usage example 
  
 * A full example leveraging other community modules is contained in the [examples/eks_test_fixture directory](https://github.com/terraform-aws-modules/terraform-aws-eks/tree/master/examples/eks_test_fixture). Here's the gist of using it via the Terraform registry: 
  
 * ```hcl 
 * module ""eks"" { 
 *   source                = ""terraform-aws-modules/eks/aws"" 
 *   cluster_name          = ""test-eks-cluster"" 
 *   subnets               = [""subnet-abcde012"", ""subnet-bcde012a""] 
 *   tags                  = {Environment = ""test""} 
 *   vpc_id                = ""vpc-abcde012"" 
 * } 
 * ``` 
  
 * ## Other Documentation 
 * 
 * - [Autoscaling](docs/autoscaling.md): How to enabled worker node autoscaling. 
  
 * ## Release schedule 
  
 * Generally the maintainers will try to release the module once every 2 weeks to 
 * keep up with PR additions. If particularly pressing changes are added or maintainers 
 * come up with the spare time (hah!), release may happen more often on occasion. 
  
 * ## Testing 
  
 * This module has been packaged with [awspec](https://github.com/k1LoW/awspec) tests through [kitchen](https://kitchen.ci/) and [kitchen-terraform](https://newcontext-oss.github.io/kitchen-terraform/). To run them: 
  
 * 1. Install [rvm](https://rvm.io/rvm/install) and the ruby version specified in the [Gemfile](https://github.com/terraform-aws-modules/terraform-aws-eks/tree/master/Gemfile). 
 * 2. Install bundler and the gems from our Gemfile: 
 * 
 *     ```bash 
 *     gem install bundler && bundle install 
 *     ``` 
 * 
 * 3. Ensure your AWS environment is configured (i.e. credentials and region) for test. 
 * 4. Test using `bundle exec kitchen test` from the root of the repo. 
  
 * For now, connectivity to the kubernetes cluster is not tested but will be in the 
 * future. Once the test fixture has converged, you can query the test cluster from 
 * that terminal session with 
 * ```bash 
 * kubectl get nodes --watch --kubeconfig kubeconfig 
 * ``` 
 * (using default settings `config_output_path = ""./""` & `write_kubeconfig = true`) 
  
 * ## Doc generation 
  
 * Documentation should be modified within `main.tf` and generated using [terraform-docs](https://github.com/segmentio/terraform-docs). 
 * 
 * Install it with `go get github.com/segmentio/terraform-docs` or `brew install terraform-docs` and then use it to generate the `README.md` file: 
 * 
 * ``` 
 * terraform-docs --with-aggregate-type-defaults md ./ | cat -s | tail -r | tail -n +2 | tail -r > README.md 
 * ``` 
  
 * ## Contributing 
  
 * Report issues/questions/feature requests on in the [issues](https://github.com/terraform-aws-modules/terraform-aws-eks/issues/new) section. 
  
 * Full contributing [guidelines are covered here](https://github.com/terraform-aws-modules/terraform-aws-eks/blob/master/CONTRIBUTING.md). 
  
 * ## IAM Permissions 
  
 * Testing and using this repo requires a minimum set of IAM permissions. Test permissions 
 * are listed in the [eks_test_fixture README](https://github.com/terraform-aws-modules/terraform-aws-eks/tree/master/examples/eks_test_fixture/README.md). 
  
 * ## Change log 
  
 * The [changelog](https://github.com/terraform-aws-modules/terraform-aws-eks/tree/master/CHANGELOG.md) captures all important release notes. 
  
 * ## Authors 
  
 * Created and maintained by [Brandon O'Connor](https://github.com/brandoconnor) - brandon@atscale.run. 
 * Many thanks to [the contributors listed here](https://github.com/terraform-aws-modules/terraform-aws-eks/graphs/contributors)! 
  
 * ## License 
  
 * MIT Licensed. See [LICENSE](https://github.com/terraform-aws-modules/terraform-aws-eks/tree/master/LICENSE) for full details. 
 */  ",,,the block associated got renamed or deleted,,1,,6d38ca4eadf341230ce510801bf806ffe3a39706,dfec7b100349d6a2aa9ec16cb47ebb4f5ce9bd3d,https://github.com/terraform-aws-modules/terraform-aws-eks/blob/6d38ca4eadf341230ce510801bf806ffe3a39706/main.tf#L1,https://github.com/terraform-aws-modules/terraform-aws-eks/blob/dfec7b100349d6a2aa9ec16cb47ebb4f5ce9bd3d/main.tf,2018-12-12 17:07:10+01:00,2018-12-14 10:02:13+01:00,2,1
https://github.com/terraform-aws-modules/terraform-aws-eks,11,local.tf,local.tf,0,workaround,# Followed recommendation http://67bricks.com/blog/?p=85 to workaround terraform not supporting short circut evaluation,# Followed recommendation http://67bricks.com/blog/?p=85 to workaround terraform not supporting short circut evaluation,,,the block associated got renamed or deleted,,4,,59ced5fdb408f59a99c57e58f38d10335abb8db4,5902fe0fbc662e3af5846f7b5956cd8265c586d3,https://github.com/terraform-aws-modules/terraform-aws-eks/blob/59ced5fdb408f59a99c57e58f38d10335abb8db4/local.tf#L4,https://github.com/terraform-aws-modules/terraform-aws-eks/blob/5902fe0fbc662e3af5846f7b5956cd8265c586d3/local.tf,2018-06-27 11:23:19-04:00,2018-06-27 11:57:19-04:00,2,1
https://github.com/rust-lang/simpleinfra,22,terragrunt/modules/ecs-app/ci.tf,terragrunt/modules/ecs-app/ci.tf,0,// todo,// TODO: reenanle,"// TODO: reenanle 
 // IAM User used by GitHub Actions to pull and push images to ECR, and to 
 // restart the ECS service once the image is uploaded. The credentials will 
 // be added automatically to the GitHub Actions secrets.  
 # module ""iam_ci"" { 
 #   source = ""../gha-iam-user"" 
 #   org    = split(""/"", var.repo)[0] 
 #   repo   = split(""/"", var.repo)[1] 
 # }  
 # resource ""aws_iam_user_policy"" ""update_service"" { 
 #   name = ""update-ecs-service"" 
 #   user = module.iam_ci.user_name  
 #   policy = jsonencode({ 
 #     Version = ""2012-10-17"" 
 #     Statement = [ 
 #       { 
 #         Sid      = ""AllowUpdate"" 
 #         Effect   = ""Allow"" 
 #         Action   = ""ecs:UpdateService"" 
 #         Resource = module.ecs_service.arn 
 #       } 
 #     ] 
 #   }) 
 # }  
 # resource ""aws_iam_user_policy_attachment"" ""ci_pull"" { 
 #   user       = module.iam_ci.user_name 
 #   policy_arn = module.ecr.policy_pull_arn 
 # }  
 # resource ""aws_iam_user_policy_attachment"" ""ci_push"" { 
 #   user       = module.iam_ci.user_name 
 #   policy_arn = module.ecr.policy_push_arn 
 # } ",,,the block associated got renamed or deleted,,8,,34bd3fe4b3b6f6911b270e95b9374f4d415efcf6,796033567ed689abe21b44826f3ff4d5f0a83f6c,https://github.com/rust-lang/simpleinfra/blob/34bd3fe4b3b6f6911b270e95b9374f4d415efcf6/terragrunt/modules/ecs-app/ci.tf#L8,https://github.com/rust-lang/simpleinfra/blob/796033567ed689abe21b44826f3ff4d5f0a83f6c/terragrunt/modules/ecs-app/ci.tf,2023-01-11 14:57:26+01:00,2023-01-12 10:32:35+01:00,2,1
https://github.com/google/go-cloud,2,samples/guestbook/gcp/main.tf,samples/guestbook/gcp/main.tf,0,# todo,# TODO(light): Add cloudbuild.googleapis.com resource.,"# TODO(light): Add cloudbuild.googleapis.com resource.  
 # Service account for the running server ",,,the block associated got renamed or deleted,,24,,2f807406236dfb6b662001bea3c3dabe0dc79b1c,6375ec1a4cf75d40b1ce34aac207d3a14831307e,https://github.com/google/go-cloud/blob/2f807406236dfb6b662001bea3c3dabe0dc79b1c/samples/guestbook/gcp/main.tf#L24,https://github.com/google/go-cloud/blob/6375ec1a4cf75d40b1ce34aac207d3a14831307e/samples/guestbook/gcp/main.tf,2018-06-14 14:45:08-07:00,2018-06-21 16:54:06-06:00,3,1
https://github.com/compiler-explorer/infra,1,terraform/cloudfront.tf,terraform/cloudfront.tf,0,todo,# TODO - the duplication is rubbish,# TODO - the duplication is rubbish,,,"resource ""aws_cloudfront_distribution"" ""compiler-explorer-com"" {
  origin {
    domain_name = ""compiler-explorer.s3.amazonaws.com""
    origin_id   = ""S3-compiler-explorer""
  }
  origin {
    domain_name = aws_alb.GccExplorerApp.dns_name
    origin_id   = ""ALB-compiler-explorer""
    custom_origin_config {
      http_port                = 80
      https_port               = 443
      origin_read_timeout      = 60
      origin_keepalive_timeout = 60
      origin_protocol_policy   = ""https-only""
      origin_ssl_protocols     = [
        ""TLSv1"",
        ""TLSv1.2"",
        ""TLSv1.1""
      ]
    }
  }

  enabled          = true
  is_ipv6_enabled  = true
  retain_on_delete = true
  aliases          = [
    ""compiler-explorer.com"",
    ""*.compiler-explorer.com""
  ]

  viewer_certificate {
    acm_certificate_arn      = data.aws_acm_certificate.godbolt-org-et-al.arn
    ssl_support_method       = ""sni-only""
    minimum_protocol_version = ""TLSv1.1_2016""
  }

  logging_config {
    include_cookies = false
    bucket          = ""compiler-explorer-logs.s3.amazonaws.com""
    prefix          = ""cloudfront/""
  }

  http_version = ""http2""

  restrictions {
    geo_restriction {
      restriction_type = ""blacklist""
      locations        = [
        ""CU"",
        ""IR"",
        ""KP"",
        ""SD"",
        ""SY""
      ]
    }
  }

  # Message of the day stuff, served from s3
  ordered_cache_behavior {
    allowed_methods = [
      ""GET"",
      ""HEAD""
    ]
    cached_methods = [
      ""GET"",
      ""HEAD""
    ]
    forwarded_values {
      cookies {
        forward = ""none""
      }
      query_string = false
    }
    path_pattern           = ""motd/*""
    target_origin_id       = ""S3-compiler-explorer""
    viewer_protocol_policy = ""redirect-to-https""
  }

  # Admin stuff, also served from s3
  ordered_cache_behavior {
    allowed_methods = [
      ""GET"",
      ""HEAD""
    ]
    cached_methods = [
      ""GET"",
      ""HEAD""
    ]
    forwarded_values {
      cookies {
        forward = ""none""
      }
      query_string = false
    }
    path_pattern           = ""admin/*""
    target_origin_id       = ""S3-compiler-explorer""
    viewer_protocol_policy = ""redirect-to-https""
  }

  default_cache_behavior {
    allowed_methods = [
      ""HEAD"",
      ""DELETE"",
      ""POST"",
      ""GET"",
      ""OPTIONS"",
      ""PUT"",
      ""PATCH""
    ]
    cached_methods = [
      ""HEAD"",
      ""GET""
    ]
    forwarded_values {
      cookies {
        forward = ""none""
      }
      query_string = true
      headers      = [
        ""Accept"",
        ""Host"",
        ""CloudFront-Is-Mobile-Viewer""
      ]
    }
    target_origin_id       = ""ALB-compiler-explorer""
    viewer_protocol_policy = ""redirect-to-https""
    compress               = true
  }

  custom_error_response {
    error_code            = 503
    response_code         = 503
    error_caching_min_ttl = 5
    response_page_path    = ""/admin/503.html""
  }
  web_acl_id = aws_wafv2_web_acl.compiler-explorer.arn
}
",resource,132,153.0,e243f7cde5cdaa9923c868e9b7160e26d84f06d9,9396f5f28ceffe52db6b0a555bb73c335513e151,https://github.com/compiler-explorer/infra/blob/e243f7cde5cdaa9923c868e9b7160e26d84f06d9/terraform/cloudfront.tf#L132,https://github.com/compiler-explorer/infra/blob/9396f5f28ceffe52db6b0a555bb73c335513e151/terraform/cloudfront.tf#L153,2018-09-03 22:19:49-05:00,2023-04-17 07:44:52-05:00,38,0
