Repo URL,Satd Comment Id,File Path Of First Occurence,File Path Of Last Occurence,renamed,Keyword,SATD Comment,context,bloc of first occurrence,bloc type of first occurrence,bloc of last occurrence,bloc type of last occurrence,SATD Comment Line Of First Occurence,SATD Comment Line Of Last Occurence,first Commit Hash,last Commit Hash,Link To The File Of First Occurence,Link To The File Of Last Occurence/When Adressed,Introduction Time,Last Occurence (even solved or not),number of commits,adressed ?
https://github.com/GoogleCloudPlatform/cloud-foundation-fabric,405,modules/vpc-sc/access_levels.tf,modules/vpc-sc/access-levels.tf,1,implement,"# this code implements ""additive"" access levels, if ""authoritative""","/** 
 * Copyright 2021 Google LLC 
 * 
 * Licensed under the Apache License, Version 2.0 (the ""License""); 
 * you may not use this file except in compliance with the License. 
 * You may obtain a copy of the License at 
 * 
 *      http://www.apache.org/licenses/LICENSE-2.0 
 * 
 * Unless required by applicable law or agreed to in writing, software 
 * distributed under the License is distributed on an ""AS IS"" BASIS, 
 * WITHOUT WARRANTIES OR CONDITIONS OF ANY KIND, either express or implied. 
 * See the License for the specific language governing permissions and 
 * limitations under the License. 
 */  
 # TODO(ludomagno): add a second variable and resource for custom access levels  
 # this code implements ""additive"" access levels, if ""authoritative"" 
 # access levels are needed, switch to the 
 # google_access_context_manager_access_levels resource ","resource ""google_access_context_manager_access_level"" ""basic"" {
  for_each = var.access_levels
  parent   = ""accessPolicies/${local.access_policy}""
  name     = ""accessPolicies/${local.access_policy}/accessLevels/${each.key}""
  title    = each.key
  basic {
    combining_function = each.value.combining_function
    dynamic ""conditions"" {
      for_each = toset(
        each.value.conditions == null ? [] : each.value.conditions
      )
      iterator = condition
      content {
        dynamic ""device_policy"" {
          for_each = toset(
            condition.key.device_policy == null ? [] : [condition.key.device_policy]
          )
          iterator = device_policy
          content {
            dynamic ""os_constraints"" {
              for_each = toset(
                device_policy.key.os_constraints == null ? [] : device_policy.key.os_constraints
              )
              iterator = os_constraint
              content {
                minimum_version            = os_constraint.key.minimum_version
                os_type                    = os_constraint.key.os_type
                require_verified_chrome_os = os_constraint.key.require_verified_chrome_os
              }
            }
            allowed_encryption_statuses      = device_policy.key.allowed_encryption_statuses
            allowed_device_management_levels = device_policy.key.allowed_device_management_levels
            require_admin_approval           = device_policy.key.require_admin_approval
            require_corp_owned               = device_policy.key.require_corp_owned
            require_screen_lock              = device_policy.key.require_screen_lock
          }
        }
        ip_subnetworks = (
          condition.key.ip_subnetworks == null ? [] : condition.key.ip_subnetworks
        )
        members = (
          condition.key.members == null ? [] : condition.key.members
        )
        negate = condition.key.negate
        regions = (
          condition.key.regions == null ? [] : condition.key.regions
        )
        required_access_levels = (
          condition.key.required_access_levels == null
          ? []
          : condition.key.required_access_levels
        )
      }
    }
  }
}
",resource,"resource ""google_access_context_manager_access_level"" ""basic"" {
  for_each    = merge(local.data.access_levels, var.access_levels)
  parent      = ""accessPolicies/${local.access_policy}""
  name        = ""accessPolicies/${local.access_policy}/accessLevels/${each.key}""
  title       = each.key
  description = each.value.description

  basic {
    combining_function = each.value.combining_function

    dynamic ""conditions"" {
      for_each = toset(each.value.conditions)
      iterator = c
      content {
        ip_subnetworks         = c.value.ip_subnetworks
        members                = c.value.members
        negate                 = c.value.negate
        regions                = c.value.regions
        required_access_levels = coalesce(c.value.required_access_levels, [])

        dynamic ""device_policy"" {
          for_each = c.value.device_policy == null ? [] : [c.value.device_policy]
          iterator = dp
          content {

            allowed_device_management_levels = (
              dp.value.allowed_device_management_levels
            )
            allowed_encryption_statuses = (
              dp.value.allowed_encryption_statuses
            )
            require_admin_approval = dp.value.key.require_admin_approval
            require_corp_owned     = dp.value.require_corp_owned
            require_screen_lock    = dp.value.require_screen_lock

            dynamic ""os_constraints"" {
              for_each = toset(
                dp.value.os_constraints == null
                ? []
                : dp.value.os_constraints
              )
              iterator = oc
              content {
                minimum_version            = oc.value.minimum_version
                os_type                    = oc.value.os_type
                require_verified_chrome_os = oc.value.require_verified_chrome_os
              }
            }

          }
        }

      }
    }

  }
}
",resource,19,19.0,2c7dab3bb2b572c4d60bc91ba48eb9e4ffbb8913,91615e014054ada63899da558f3b1c6cac5c8000,https://github.com/GoogleCloudPlatform/cloud-foundation-fabric/blob/2c7dab3bb2b572c4d60bc91ba48eb9e4ffbb8913/modules/vpc-sc/access_levels.tf#L19,https://github.com/GoogleCloudPlatform/cloud-foundation-fabric/blob/91615e014054ada63899da558f3b1c6cac5c8000/modules/vpc-sc/access-levels.tf#L19,2021-12-31 13:29:22+01:00,2024-02-17 08:02:16+01:00,6,0
https://github.com/apache/beam,5,playground/terraform/infrastructure/setup/iam.tf,playground/terraform/infrastructure/setup/iam.tf,0,// todo,#    // TODO: add the required roles to provision resources (not OWNER :-)!),"# 
 # Licensed to the Apache Software Foundation (ASF) under one 
 # or more contributor license agreements.  See the NOTICE file 
 # distributed with this work for additional information 
 # regarding copyright ownership.  The ASF licenses this file 
 # to you under the Apache License, Version 2.0 (the 
 # ""License""); you may not use this file except in compliance 
 # with the License.  You may obtain a copy of the License at 
 # 
 #   http://www.apache.org/licenses/LICENSE-2.0 
 # 
 # Unless required by applicable law or agreed to in writing, 
 # software distributed under the License is distributed on an 
 # ""AS IS"" BASIS, WITHOUT WARRANTIES OR CONDITIONS OF ANY 
 # KIND, either express or implied.  See the License for the 
 # specific language governing permissions and limitations 
 # under the License. 
 #  
 #resource ""google_service_account"" ""terraform_service_account"" { 
 #  account_id   = ""terraform"" 
 #  display_name = ""terraform"" 
 #} 
 # 
 #resource ""google_project_iam_member"" ""terraform_service_account_roles"" { 
 #  for_each = toset([ 
 #    // TODO: add the required roles to provision resources (not OWNER :-)!) 
 #  ]) 
 #  role    = each.key 
 #  member  = ""serviceAccount:${google_service_account.terraform_service_account.email}"" 
 #  project = var.project_id 
 #} 
 # 
 #resource ""google_service_account_iam_binding"" ""terraform_service_account_token_permissions"" { 
 #  service_account_id = google_service_account.terraform_service_account.id 
 #  members = [ 
 #    ""user:${var.developer_account_email}"" // TODO: add variable 
 #  ] 
 #  role    = ""roles/iam.serviceAccountTokenCreator"" 
 #}  
 #resource ""google_service_account_iam_binding"" ""application_service_account_binding"" { 
 #  members            = [ 
 #    ""serviceAccount:${google_service_account.terraform_service_account.email}"" 
 #  ] 
 #  role               = ""roles/iam.serviceAccountUser"" 
 #  service_account_id = google_service_account.playground_service_account.id 
 #} ","resource ""google_service_account"" ""playground_service_account"" {
  account_id   = var.service_account_id
  display_name = var.service_account_id
}
",resource,"resource ""google_service_account"" ""playground_service_account"" {
  account_id   = var.service_account_id
  display_name = var.service_account_id
}
",resource,27,,675c0bc10f813ea593702f5e6a0fd2ce38caf720,ea4411f0082a65b7a974222b5954a44bd8dc8d31,https://github.com/apache/beam/blob/675c0bc10f813ea593702f5e6a0fd2ce38caf720/playground/terraform/infrastructure/setup/iam.tf#L27,https://github.com/apache/beam/blob/ea4411f0082a65b7a974222b5954a44bd8dc8d31/playground/terraform/infrastructure/setup/iam.tf,2022-02-22 10:04:20-08:00,2023-05-08 15:38:25-04:00,4,1
https://github.com/mozilla/hubs-ops,105,terraform/modules/janus/main.tf,terraform/modules/janus/main.tf,0,todo,# TODO this causes large janus CPU spike,"# TODO this causes large janus CPU spike 
 # sudo sed -i ""s/#RateLimitBurst=1000/RateLimitBurst=5000/"" /etc/systemd/journald.conf 
 # sudo systemctl restart systemd-journald ",,,the block associated got renamed or deleted,,150,,1a131e1b5147ae2d598b54346cd12789434fdb75,c94b0b5d3b974715258e116f38727e608b15475f,https://github.com/mozilla/hubs-ops/blob/1a131e1b5147ae2d598b54346cd12789434fdb75/terraform/modules/janus/main.tf#L150,https://github.com/mozilla/hubs-ops/blob/c94b0b5d3b974715258e116f38727e608b15475f/terraform/modules/janus/main.tf,2018-06-27 14:37:39-07:00,2018-10-09 22:10:29+00:00,2,1
https://github.com/GoogleCloudPlatform/cloud-foundation-fabric,1985,modules/net-vpc/subnets.tf,modules/net-vpc/subnets.tf,0,fix,#                  Revert to the following once fixed.,"# TODO(sruffilli): Provider 5.29.1 disabled reserved_internal_range because of a bug. 
 #                  Revert to the following once fixed. 
 # ip_cidr_range = ( 
 #   startswith(secondary_ip_range.value, ""networkconnectivity.googleapis.com"") 
 #   ? null 
 #   : secondary_ip_range.value 
 # ) 
 # reserved_internal_range = ( 
 #   startswith(secondary_ip_range.value, ""networkconnectivity.googleapis.com"") 
 #   ? secondary_ip_range.value 
 #   : null 
 # )","resource ""google_compute_subnetwork"" ""subnetwork"" {
  for_each      = local.subnets
  project       = var.project_id
  network       = local.network.name
  name          = each.value.name
  region        = each.value.region
  ip_cidr_range = each.value.ip_cidr_range
  description = (
    each.value.description == null
    ? ""Terraform-managed.""
    : each.value.description
  )
  private_ip_google_access = each.value.enable_private_access
  stack_type = (
    try(each.value.ipv6, null) != null ? ""IPV4_IPV6"" : null
  )
  ipv6_access_type = (
    try(each.value.ipv6, null) != null ? each.value.ipv6.access_type : null
  )
  # private_ipv6_google_access = try(each.value.ipv6.enable_private_access, null)
  dynamic ""secondary_ip_range"" {
    for_each = each.value.secondary_ip_ranges == null ? {} : each.value.secondary_ip_ranges
    content {
      range_name    = secondary_ip_range.key
      ip_cidr_range = secondary_ip_range.value
      # TODO(sruffilli): Provider 5.29.1 disabled reserved_internal_range because of a bug.
      #                  Revert to the following once fixed.
      # ip_cidr_range = (
      #   startswith(secondary_ip_range.value, ""networkconnectivity.googleapis.com"")
      #   ? null
      #   : secondary_ip_range.value
      # )    
      # reserved_internal_range = (
      #   startswith(secondary_ip_range.value, ""networkconnectivity.googleapis.com"")
      #   ? secondary_ip_range.value
      #   : null
      # )
    }
  }
  dynamic ""log_config"" {
    for_each = each.value.flow_logs_config != null ? [""""] : []
    content {
      aggregation_interval = each.value.flow_logs_config.aggregation_interval
      filter_expr          = each.value.flow_logs_config.filter_expression
      flow_sampling        = each.value.flow_logs_config.flow_sampling
      metadata             = each.value.flow_logs_config.metadata
      metadata_fields = (
        each.value.flow_logs_config.metadata == ""CUSTOM_METADATA""
        ? each.value.flow_logs_config.metadata_fields
        : null
      )
    }
  }
}
",resource,"resource ""google_compute_subnetwork"" ""subnetwork"" {
  for_each      = local.subnets
  project       = var.project_id
  network       = local.network.name
  name          = each.value.name
  region        = each.value.region
  ip_cidr_range = each.value.ip_cidr_range
  description = (
    each.value.description == null
    ? ""Terraform-managed.""
    : each.value.description
  )
  private_ip_google_access = each.value.enable_private_access
  stack_type = (
    try(each.value.ipv6, null) != null ? ""IPV4_IPV6"" : null
  )
  ipv6_access_type = (
    try(each.value.ipv6, null) != null ? each.value.ipv6.access_type : null
  )
  # private_ipv6_google_access = try(each.value.ipv6.enable_private_access, null)
  dynamic ""secondary_ip_range"" {
    for_each = each.value.secondary_ip_ranges == null ? {} : each.value.secondary_ip_ranges
    content {
      range_name    = secondary_ip_range.key
      ip_cidr_range = secondary_ip_range.value
      # TODO(sruffilli): Provider 5.29.1 disabled reserved_internal_range because of a bug.
      #                  Revert to the following once fixed.
      # ip_cidr_range = (
      #   startswith(secondary_ip_range.value, ""networkconnectivity.googleapis.com"")
      #   ? null
      #   : secondary_ip_range.value
      # )    
      # reserved_internal_range = (
      #   startswith(secondary_ip_range.value, ""networkconnectivity.googleapis.com"")
      #   ? secondary_ip_range.value
      #   : null
      # )
    }
  }
  dynamic ""log_config"" {
    for_each = each.value.flow_logs_config != null ? [""""] : []
    content {
      aggregation_interval = each.value.flow_logs_config.aggregation_interval
      filter_expr          = each.value.flow_logs_config.filter_expression
      flow_sampling        = each.value.flow_logs_config.flow_sampling
      metadata             = each.value.flow_logs_config.metadata
      metadata_fields = (
        each.value.flow_logs_config.metadata == ""CUSTOM_METADATA""
        ? each.value.flow_logs_config.metadata_fields
        : null
      )
    }
  }
}
",resource,163,163.0,d3ffcc2b1cf2f2ffc3fc480b90719116dee59563,d3ffcc2b1cf2f2ffc3fc480b90719116dee59563,https://github.com/GoogleCloudPlatform/cloud-foundation-fabric/blob/d3ffcc2b1cf2f2ffc3fc480b90719116dee59563/modules/net-vpc/subnets.tf#L163,https://github.com/GoogleCloudPlatform/cloud-foundation-fabric/blob/d3ffcc2b1cf2f2ffc3fc480b90719116dee59563/modules/net-vpc/subnets.tf#L163,2024-05-15 05:46:18+00:00,2024-05-15 05:46:18+00:00,1,0
https://github.com/terraform-google-modules/terraform-google-project-factory,125,examples/shared_vpc/main.tf,examples/shared_vpc/main.tf,0,# todo,# TODO: Switch to released version once,"# TODO: Switch to released version once 
 # https://github.com/terraform-google-modules/terraform-google-network/pull/47 
 # is merged and released.  This is here to fix the `Error: Unsupported block 
 # type` on the `triggers` block in network's main.tf file. 
 # 
 # source  = ""terraform-google-modules/network/google"" 
 # version = ""0.8.0""","module ""vpc"" {
  # TODO: Switch to released version once
  # https://github.com/terraform-google-modules/terraform-google-network/pull/47
  # is merged and released.  This is here to fix the `Error: Unsupported block
  # type` on the `triggers` block in network's main.tf file.
  #
  # source  = ""terraform-google-modules/network/google""
  # version = ""0.8.0""
  source = ""git::https://github.com/terraform-google-modules/terraform-google-network.git?ref=aaron-lane-0.12""

  project_id   = module.host-project.project_id
  network_name = var.network_name

  delete_default_internet_gateway_routes = ""true""
  shared_vpc_host                        = ""true""

  subnets = [
    {
      subnet_name   = local.subnet_01
      subnet_ip     = ""10.10.10.0/24""
      subnet_region = ""us-west1""
    },
    {
      subnet_name           = local.subnet_02
      subnet_ip             = ""10.10.20.0/24""
      subnet_region         = ""us-west1""
      subnet_private_access = ""true""
      subnet_flow_logs      = ""true""
    },
  ]

  secondary_ranges = {
    ""${local.subnet_01}"" = [
      {
        range_name    = ""${local.subnet_01}-01""
        ip_cidr_range = ""192.168.64.0/24""
      },
      {
        range_name    = ""${local.subnet_01}-02""
        ip_cidr_range = ""192.168.65.0/24""
      },
    ]

    ""${local.subnet_02}"" = [
      {
        range_name    = ""${local.subnet_02}-01""
        ip_cidr_range = ""192.168.66.0/24""
      },
    ]
  }
}
",module,"module ""vpc"" {
  # source  = ""terraform-google-modules/network/google""
  # version = ""~> 1.4.0""

  project_id   = module.host-project.project_id
  network_name = var.network_name

  delete_default_internet_gateway_routes = true
  shared_vpc_host                        = true

  subnets = [
    {
      subnet_name   = local.subnet_01
      subnet_ip     = ""10.10.10.0/24""
      subnet_region = ""us-west1""
    },
    {
      subnet_name           = local.subnet_02
      subnet_ip             = ""10.10.20.0/24""
      subnet_region         = ""us-west1""
      subnet_private_access = true
      subnet_flow_logs      = true
    },
  ]

  secondary_ranges = {
    ""${local.subnet_01}"" = [
      {
        range_name    = ""${local.subnet_01}-01""
        ip_cidr_range = ""192.168.64.0/24""
      },
      {
        range_name    = ""${local.subnet_01}-02""
        ip_cidr_range = ""192.168.65.0/24""
      },
    ]

    ""${local.subnet_02}"" = [
      {
        range_name    = ""${local.subnet_02}-01""
        ip_cidr_range = ""192.168.66.0/24""
      },
    ]
  }
}
",module,52,,c40a3d3c37d2cf4d9376d08a31b8ac05af21360e,6557d7a7d4dacc0ddcfcb9c89e61627d4dfe1a90,https://github.com/terraform-google-modules/terraform-google-project-factory/blob/c40a3d3c37d2cf4d9376d08a31b8ac05af21360e/examples/shared_vpc/main.tf#L52,https://github.com/terraform-google-modules/terraform-google-project-factory/blob/6557d7a7d4dacc0ddcfcb9c89e61627d4dfe1a90/examples/shared_vpc/main.tf,2019-07-12 13:49:19-04:00,2019-10-19 11:56:49-07:00,4,1
https://github.com/ManagedKube/kubernetes-ops,10,terraform-modules/aws/msk_1.0.9/module/security-group-variables.tf,terraform-modules/aws/msk_1.0.9/module/security-group-variables.tf,0,implementation,"# This file does NOT provide implementation of the inputs, as that","# security-group-variables Version: 3 
 # 
 # Copy this file from https://github.com/cloudposse/terraform-aws-security-group/blob/master/exports/security-group-variables.tf 
 # and EDIT IT TO SUIT YOUR PROJECT. Update the version number above if you update this file from a later version. 
 # Unlike null-label context.tf, this file cannot be automatically updated 
 # because of the tight integration with the module using it. 
 ## 
 # Delete this top comment block, except for the first line (version number), 
 # REMOVE COMMENTS below that are intended for the initial implementor and not maintainers or end users. 
 # 
 # This file provides the standard inputs that all Cloud Posse Open Source 
 # Terraform module that create AWS Security Groups should implement. 
 # This file does NOT provide implementation of the inputs, as that 
 # of course varies with each module. 
 # 
 # This file declares some standard outputs modules should create, 
 # but the declarations should be moved to `outputs.tf` and of course 
 # may need to be modified based on the module's use of security-group. 
 #  ","variable ""create_security_group"" {
  type        = bool
  description = ""Set `true` to create and configure a new security group. If false, `associated_security_group_ids` must be provided.""
  default     = true
}
",variable,"variable ""create_security_group"" {
  type        = bool
  description = ""Set `true` to create and configure a new security group. If false, `associated_security_group_ids` must be provided.""
  default     = true
}
",variable,13,13.0,c8193c7d74e2f7c624f0867337294cb66a2b9469,c8193c7d74e2f7c624f0867337294cb66a2b9469,https://github.com/ManagedKube/kubernetes-ops/blob/c8193c7d74e2f7c624f0867337294cb66a2b9469/terraform-modules/aws/msk_1.0.9/module/security-group-variables.tf#L13,https://github.com/ManagedKube/kubernetes-ops/blob/c8193c7d74e2f7c624f0867337294cb66a2b9469/terraform-modules/aws/msk_1.0.9/module/security-group-variables.tf#L13,2023-12-14 10:29:30-08:00,2023-12-14 10:29:30-08:00,1,0
https://github.com/terraform-aws-modules/terraform-aws-eks,150,node_groups.tf,node_groups.tf,0,hack,# Hack to ensure ordering of resource creation.,"# Hack to ensure ordering of resource creation. 
 # This is a homemade `depends_on` https://discuss.hashicorp.com/t/tips-howto-implement-module-depends-on-emulation/2305/2 
 # Do not create node_groups before other resources are ready and removes race conditions 
 # Ensure these resources are created before ""unlocking"" the data source. 
 # Will be removed in Terraform 0.13","module ""node_groups"" {
  source                 = ""./modules/node_groups""
  create_eks             = var.create_eks
  cluster_name           = coalescelist(aws_eks_cluster.this[*].name, [""""])[0]
  default_iam_role_arn   = coalescelist(aws_iam_role.workers[*].arn, [""""])[0]
  workers_group_defaults = local.workers_group_defaults
  tags                   = var.tags
  node_groups_defaults   = var.node_groups_defaults
  node_groups            = var.node_groups

  # Hack to ensure ordering of resource creation.
  # This is a homemade `depends_on` https://discuss.hashicorp.com/t/tips-howto-implement-module-depends-on-emulation/2305/2
  # Do not create node_groups before other resources are ready and removes race conditions
  # Ensure these resources are created before ""unlocking"" the data source.
  # Will be removed in Terraform 0.13
  ng_depends_on = [
    aws_eks_cluster.this,
    kubernetes_config_map.aws_auth,
    aws_iam_role_policy_attachment.workers_AmazonEKSWorkerNodePolicy,
    aws_iam_role_policy_attachment.workers_AmazonEKS_CNI_Policy,
    aws_iam_role_policy_attachment.workers_AmazonEC2ContainerRegistryReadOnly
  ]
}
",module,"module ""node_groups"" {
  source = ""./modules/node_groups""

  create_eks = var.create_eks

  cluster_name        = local.cluster_name
  cluster_endpoint    = local.cluster_endpoint
  cluster_auth_base64 = local.cluster_auth_base64

  default_iam_role_arn                 = coalescelist(aws_iam_role.workers[*].arn, [""""])[0]
  ebs_optimized_not_supported          = local.ebs_optimized_not_supported
  workers_group_defaults               = local.workers_group_defaults
  worker_security_group_id             = local.worker_security_group_id
  worker_additional_security_group_ids = var.worker_additional_security_group_ids

  node_groups_defaults = var.node_groups_defaults
  node_groups          = var.node_groups

  tags = var.tags

  depends_on = [
    aws_eks_cluster.this,
    aws_iam_role_policy_attachment.workers_AmazonEKSWorkerNodePolicy,
    aws_iam_role_policy_attachment.workers_AmazonEKS_CNI_Policy,
    aws_iam_role_policy_attachment.workers_AmazonEC2ContainerRegistryReadOnly
  ]
}
",module,11,,616d30ec674ff1d125710755f5073b1665bbd1af,56e93d77de58f311f1d1d7051f40bf77e7b03524,https://github.com/terraform-aws-modules/terraform-aws-eks/blob/616d30ec674ff1d125710755f5073b1665bbd1af/node_groups.tf#L11,https://github.com/terraform-aws-modules/terraform-aws-eks/blob/56e93d77de58f311f1d1d7051f40bf77e7b03524/node_groups.tf,2020-06-28 02:31:23+02:00,2021-11-06 20:19:03+01:00,7,1
https://github.com/alphagov/govuk-aws,454,terraform/projects/infra-security-groups/deploy.tf,terraform/projects/infra-security-groups/deploy.tf,0,todo,# TODO test whether egress rules are needed on ELBs,# TODO test whether egress rules are needed on ELBs,"resource ""aws_security_group_rule"" ""allow_deploy_internal_elb_egress"" {
  type              = ""egress""
  from_port         = 0
  to_port           = 0
  protocol          = ""-1""
  cidr_blocks       = [""0.0.0.0/0""]
  security_group_id = ""${aws_security_group.deploy_internal_elb.id}""
}
",resource,the block associated got renamed or deleted,,91,,22e8325b92cd6b89bac6fd311576b41e9e4c393b,7fd13330f8d6238e108f76ce76a76a28a99caaaf,https://github.com/alphagov/govuk-aws/blob/22e8325b92cd6b89bac6fd311576b41e9e4c393b/terraform/projects/infra-security-groups/deploy.tf#L91,https://github.com/alphagov/govuk-aws/blob/7fd13330f8d6238e108f76ce76a76a28a99caaaf/terraform/projects/infra-security-groups/deploy.tf,2017-11-27 10:27:49+00:00,2018-01-02 17:41:32+00:00,2,1
https://github.com/compiler-explorer/infra,270,terraform/security.tf,terraform/security.tf,0,todo,// TODO remove these,// TODO remove these,"resource ""aws_security_group_rule"" ""CE_GPUHttpFromAlb"" {
  security_group_id        = aws_security_group.CompilerExplorer.id
  type                     = ""ingress""
  from_port                = 1081
  to_port                  = 1081
  source_security_group_id = aws_security_group.CompilerExplorerAlb.id
  protocol                 = ""tcp""
  description              = ""Allow HTTP access from the ALB""
}
",resource,the block associated got renamed or deleted,,55,,85295c876b56c7417ea7917c51c0a20ddb9b0a07,7e0840cb5b4fdc5b0c79ab82b68ed66fcd522e01,https://github.com/compiler-explorer/infra/blob/85295c876b56c7417ea7917c51c0a20ddb9b0a07/terraform/security.tf#L55,https://github.com/compiler-explorer/infra/blob/7e0840cb5b4fdc5b0c79ab82b68ed66fcd522e01/terraform/security.tf,2022-11-14 21:02:28-06:00,2022-11-15 07:39:11-06:00,2,1
https://github.com/GoogleCloudPlatform/cloud-foundation-fabric,376,modules/organization/logging.tf,modules/organization/logging.tf,0,# todo,# TODO(jccb): use a condition to limit writer-identity only to this bucket,# TODO(jccb): use a condition to limit writer-identity only to this bucket,"resource ""google_project_iam_member"" ""bucket-sinks-binding"" {
  for_each = local.sink_bindings[""logging""]
  project  = split(""/"", each.value.destination)[1]
  role     = ""roles/logging.bucketWriter""
  member   = google_logging_organization_sink.sink[each.key].writer_identity
  # TODO(jccb): use a condition to limit writer-identity only to this bucket
}
",resource,"resource ""google_project_iam_member"" ""bucket-sinks-binding"" {
  for_each = local.sink_bindings[""logging""]
  project  = split(""/"", each.value.destination.target)[1]
  role     = ""roles/logging.bucketWriter""
  member   = google_logging_organization_sink.sink[each.key].writer_identity

  condition {
    title       = ""${each.key} bucket writer""
    description = ""Grants bucketWriter to ${google_logging_organization_sink.sink[each.key].writer_identity} used by log sink ${each.key} on ${var.organization_id}""
    expression  = ""resource.name.endsWith('${each.value.destination.target}')""
  }
}
",resource,86,,174de3a087ed8d2fed06c31db40e10cc535269b6,486d398c7d68ce1b0784a540feb7be5fb2c680c1,https://github.com/GoogleCloudPlatform/cloud-foundation-fabric/blob/174de3a087ed8d2fed06c31db40e10cc535269b6/modules/organization/logging.tf#L86,https://github.com/GoogleCloudPlatform/cloud-foundation-fabric/blob/486d398c7d68ce1b0784a540feb7be5fb2c680c1/modules/organization/logging.tf,2021-12-13 08:41:02+01:00,2022-11-11 19:22:05+01:00,6,1
