Row,chatgpt,claude,deepseek,gemini,gemma,qwen
1,1,1,1,1,1,0
2,0,0,1,1,1,1
3,1,0,1,0,1,1
4,1,1,1,1,1,1
5,0,0,0,0,0,0
6,0,1,0,0,1,0
7,1,1,1,1,1,1
8,1,1,1,1,1,1
9,1,1,1,1,1,1
10,1,0,0,1,1,1
11,1,1,1,1,1,1
12,1,1,1,1,1,1
13,1,1,1,1,1,1
14,0,0,0,1,1,0
15,1,0,1,1,1,1
16,0,1,0,1,0,0
17,1,1,1,1,1,1
18,1,1,1,1,1,1
19,0,0,0,0,0,0
20,1,0,1,1,0,1
21,0,0,0,1,0,0
22,1,1,1,1,1,1
23,1,0,1,1,1,0
24,0,0,0,0,0,0
25,0,1,1,1,1,1
26,1,1,1,1,1,1
27,1,1,1,1,1,1
28,1,0,1,1,0,1
29,1,1,1,1,1,1
30,1,1,1,1,1,1
31,1,1,1,1,1,1
32,0,0,0,0,0,0
33,1,1,0,0,1,0
34,1,0,1,1,1,1
35,1,1,1,1,1,1
36,1,0,1,1,0,1
37,0,0,0,0,0,0
38,1,1,1,1,1,1
39,0,0,0,0,0,0
40,1,1,1,1,1,1
41,0,1,0,0,1,1
42,1,1,1,1,1,1
43,1,1,1,1,1,1
44,1,1,1,1,1,1
45,1,1,1,1,1,1
46,1,1,1,1,1,0
47,1,1,1,1,1,1
48,1,0,1,1,1,1
49,1,1,1,1,0,0
50,1,0,1,1,0,1
51,1,1,1,1,0,1
52,0,0,1,0,0,0
53,1,1,1,1,1,1
54,0,0,0,0,0,0
55,0,1,1,0,1,1
56,1,1,1,1,1,1
57,1,0,1,1,1,1
58,1,0,1,1,0,1
59,1,0,1,1,0,0
60,0,1,1,0,0,1
61,0,0,0,1,0,0
62,1,0,1,0,1,1
63,0,0,0,0,0,0
64,1,1,1,1,1,1
65,1,1,1,1,1,1
66,1,0,1,1,0,1
67,1,1,1,1,1,1
68,1,1,1,1,0,1
69,1,1,1,1,1,1
70,0,1,0,1,0,1
71,1,1,1,1,1,1
72,1,1,1,1,1,0
73,1,0,1,1,0,1
74,1,0,0,1,0,1
75,0,0,0,0,0,0
76,1,1,1,1,1,1
77,0,0,0,1,1,1
78,1,0,1,1,0,1
79,1,0,1,1,1,1
80,1,0,0,1,1,0
81,0,0,0,0,0,0
82,1,1,1,1,1,1
83,1,1,1,1,1,1
84,1,1,1,1,1,1
85,1,0,1,1,0,1
86,1,1,1,1,1,1
87,1,1,1,1,0,1
88,1,1,1,1,1,1
89,1,1,1,1,1,1
90,1,1,1,1,1,1
91,0,0,0,0,1,0
92,1,1,1,1,1,1
93,0,0,0,0,0,0
94,1,0,1,1,1,1
95,1,1,1,1,1,1
96,1,1,1,0,1,1
97,1,1,0,1,1,1
98,1,1,1,1,1,1
99,1,1,1,1,1,1
100,1,1,1,1,1,1
101,1,0,1,1,1,1
102,1,0,1,1,1,0
103,1,1,1,1,1,1
104,1,1,1,1,1,1
105,1,1,1,1,1,1
106,1,0,1,1,1,0
107,1,1,0,0,0,0
108,0,0,0,0,1,1
109,1,1,1,1,1,1
110,1,1,1,1,1,1
111,1,0,0,1,1,0
112,1,1,1,1,1,1
113,1,0,1,1,1,1
114,1,1,1,1,1,1
115,1,0,1,1,1,1
116,1,1,1,1,1,1
117,1,1,1,1,0,1
118,1,0,1,1,0,1
119,1,1,0,1,0,1
120,1,1,1,1,1,1
121,0,0,0,0,1,0
122,1,0,1,1,1,1
123,1,1,0,0,0,1
124,0,1,0,0,0,0
125,0,0,0,0,0,0
126,1,1,1,1,1,1
127,1,1,1,1,1,1
128,1,1,1,1,1,0
129,1,1,1,1,1,1
130,1,1,1,1,1,1
131,1,0,1,1,1,1
132,1,1,1,1,1,1
133,1,0,1,1,1,0
134,0,1,1,1,0,0
135,1,0,1,1,1,0
136,1,1,1,1,1,1
137,1,0,1,1,0,1
138,0,0,0,0,0,0
139,1,0,1,1,1,1
140,1,0,1,1,0,1
141,0,1,1,1,1,1
142,1,1,1,1,1,1
143,1,1,1,1,1,1
144,1,1,1,1,1,1
145,1,1,1,1,1,1
146,0,0,0,1,0,1
147,1,1,1,1,1,1
148,1,0,1,1,1,1
149,1,0,1,1,0,1
150,1,1,1,1,1,1
151,0,0,0,0,0,0
152,1,1,1,1,1,1
153,1,1,1,1,1,1
154,0,0,0,1,0,0
155,1,1,1,1,1,1
156,0,0,0,0,0,0
157,1,1,1,1,1,0
158,1,1,1,0,1,1
159,0,1,1,0,1,1
160,1,1,1,0,0,1
161,0,0,1,0,0,0
162,1,1,1,1,1,1
163,1,1,1,1,1,1
164,0,1,0,0,0,0
165,1,1,1,1,0,1
166,1,1,1,1,1,1
167,1,1,0,1,1,0
168,1,1,1,1,1,1
169,1,1,1,1,1,1
170,0,0,0,0,0,0
171,1,1,1,1,1,1
172,1,1,0,1,1,0
173,1,0,1,1,1,1
174,1,1,1,1,1,1
175,1,1,1,1,1,1
176,0,0,0,0,0,0
177,1,0,1,1,1,1
178,1,1,1,1,1,1
179,1,1,1,1,1,1
180,1,1,1,1,1,1
181,1,1,1,1,1,1
182,1,0,1,1,1,0
183,1,0,1,0,0,1
184,1,1,1,1,1,1
185,1,1,1,1,1,1
186,0,0,1,1,0,0
187,1,1,1,1,1,1
188,0,0,1,1,1,0
189,1,1,1,1,1,1
190,1,1,1,1,1,1
191,0,1,1,1,0,1
192,1,1,1,1,1,1
193,1,1,1,1,1,1
194,1,1,1,1,1,1
195,0,0,0,0,0,0
196,0,0,0,0,0,0
197,1,1,1,1,1,1
198,1,0,1,1,1,1
199,0,1,0,1,0,0
200,1,1,1,1,1,1
201,1,1,1,1,1,1
202,1,1,1,1,1,1
203,1,0,1,1,1,1
204,1,0,0,0,0,0
205,1,1,1,1,1,1
206,1,0,1,0,0,0
207,1,1,1,1,1,1
208,0,0,0,1,0,1
209,1,1,1,1,1,1
210,1,0,1,1,0,1
211,1,0,1,0,0,1
212,1,0,1,1,0,1
213,0,0,0,0,0,0
214,1,0,1,1,1,1
215,1,0,1,1,1,1
216,1,0,1,1,1,0
217,1,0,1,1,1,1
218,1,0,1,1,1,1
219,0,1,1,1,1,1
220,1,1,1,1,1,1
221,1,1,1,0,1,1
222,0,0,0,0,0,0
223,1,0,1,1,1,1
224,1,1,1,1,1,1
225,0,1,0,0,0,0
226,1,1,1,1,1,1
227,1,0,1,1,1,1
228,1,1,1,1,1,1
229,1,1,0,1,1,0
230,1,1,1,1,1,1
231,1,1,0,1,1,1
232,1,1,1,1,1,1
233,1,1,1,1,1,1
234,1,1,1,1,1,1
235,1,1,1,1,1,1
236,1,0,1,1,0,1
237,1,1,1,1,1,1
238,1,0,1,1,0,1
239,1,1,1,1,1,1
240,1,1,1,1,1,1
241,1,1,1,1,1,1
242,1,1,1,1,1,1
243,1,1,1,1,1,1
244,1,1,1,1,1,1
245,1,0,1,1,1,1
246,1,0,1,1,1,1
247,1,1,1,1,1,0
248,1,0,1,1,0,1
249,1,0,1,1,0,0
250,1,1,1,1,1,1
251,1,1,1,1,1,1
252,1,1,1,1,1,1
253,0,0,0,0,1,0
254,1,1,1,1,1,1
255,0,0,0,1,0,0
256,1,0,1,1,0,1
257,1,0,1,0,0,1
258,1,1,1,1,1,1
259,1,1,1,1,1,1
260,0,0,0,1,0,0
261,1,1,1,1,1,1
262,0,1,0,1,1,0
263,0,0,0,0,0,0
264,1,1,1,1,1,1
265,1,1,1,1,1,1
266,1,1,1,1,1,1
267,1,0,1,1,0,0
268,1,0,0,0,0,0
269,1,0,1,1,0,1
270,1,0,0,1,1,0
271,1,1,1,1,1,1
272,1,0,1,1,1,1
273,0,0,0,0,0,0
274,1,1,1,1,1,1
275,0,0,0,0,0,0
276,1,1,1,1,1,1
277,0,0,1,1,0,0
278,1,1,1,1,1,1
279,1,1,1,1,1,1
280,1,1,1,1,1,1
281,0,0,0,0,0,0
282,1,1,1,1,1,1
283,1,0,0,0,1,1
284,1,0,1,1,1,1
285,1,0,0,1,1,1
286,1,0,1,1,1,1
287,0,1,1,1,0,1
288,1,1,1,1,1,1
289,1,1,1,1,1,1
290,1,1,1,1,1,1
291,1,1,1,1,1,1
292,0,0,0,0,0,1
293,1,0,1,0,0,0
294,1,1,1,1,1,1
295,1,1,1,1,1,0
296,0,0,0,0,0,0
297,1,1,1,1,1,1
298,0,0,1,1,0,1
299,1,0,1,0,0,1
300,0,0,0,1,0,0
301,1,0,1,1,1,1
302,1,1,1,1,1,1
303,0,1,0,0,0,0
304,1,1,1,1,1,1
305,1,1,0,0,1,1
306,1,0,1,1,1,1
307,1,0,1,1,1,1
308,1,1,1,1,1,1
309,1,0,1,1,0,1
310,1,1,1,1,1,1
311,0,1,1,1,1,1
312,1,1,1,1,1,1
313,1,1,0,1,0,1
314,0,0,0,0,0,1
315,1,0,1,1,1,1
316,0,0,0,0,0,0
317,1,1,0,1,0,0
318,1,1,1,1,1,1
319,1,1,1,1,1,1
320,0,1,1,1,0,1
321,1,1,0,0,1,1
322,1,1,1,1,1,1
323,0,1,1,1,1,0
324,0,0,0,0,0,0
325,1,0,1,1,1,1
326,1,0,1,1,1,1
327,1,0,0,1,0,1
328,1,1,1,1,1,1
329,1,1,1,1,1,1
330,1,1,1,1,0,1
331,0,1,1,0,0,1
332,1,1,1,1,1,1
333,0,0,0,0,0,0
334,1,1,1,1,1,1
335,1,0,1,1,1,1
336,1,1,1,1,1,1
337,1,1,1,1,1,0
338,1,1,1,1,1,1
339,0,0,1,0,1,1
340,1,1,1,1,1,1
341,0,0,0,1,0,1
342,1,1,1,1,1,1
343,1,1,1,1,1,1
344,1,1,1,1,1,1
345,1,0,0,1,1,1
346,1,1,1,1,1,1
347,1,0,1,1,1,1
348,1,0,1,1,1,1
349,1,1,1,1,1,1
350,1,1,1,1,1,1
351,1,1,1,1,1,1
352,0,0,0,0,0,1
353,1,1,1,1,1,1
354,1,1,1,1,1,1
355,1,0,1,1,0,1
356,1,1,1,1,1,1
357,1,1,1,1,1,1
358,1,1,1,1,0,0
359,1,1,1,1,1,1
360,0,1,0,1,1,0
361,0,1,0,1,0,1
362,1,1,1,1,0,1
363,1,1,1,1,1,1
364,0,0,1,0,0,0
365,1,1,1,1,1,1
366,1,0,1,1,1,1
367,1,1,1,1,1,1
368,1,0,1,1,1,0
369,1,0,0,0,0,1
370,1,1,1,1,1,1
371,1,0,1,1,1,1
372,1,1,1,1,1,1
373,1,1,1,1,1,1
374,1,0,0,1,1,1
375,1,1,1,1,1,1
376,1,1,1,1,1,1
377,1,1,1,1,1,1
378,1,0,1,0,0,1
379,1,0,1,1,1,0
380,1,1,1,1,1,1
