Row,chatgpt,claude,deepseek,gemini,gemma,qwen
1,1,0,1,1,1,0
2,0,0,0,0,0,0
3,0,0,0,1,0,1
4,1,0,1,1,1,1
5,0,0,0,0,0,0
6,0,1,0,0,1,0
7,1,1,1,1,1,1
8,1,1,1,1,1,1
9,1,1,1,1,1,1
10,0,0,0,1,1,0
11,1,1,1,1,1,1
12,1,1,1,1,1,1
13,1,1,1,1,1,1
14,0,0,1,1,1,0
15,1,0,1,1,1,1
16,1,1,1,1,1,0
17,1,0,1,1,1,1
18,1,1,1,1,1,1
19,0,0,0,0,0,0
20,1,0,1,1,0,1
21,0,0,0,1,0,0
22,1,1,1,1,1,1
23,1,0,1,1,1,0
24,0,0,0,0,0,0
25,0,1,1,1,1,1
26,1,1,1,1,1,1
27,1,1,1,1,1,1
28,1,0,1,1,0,1
29,1,1,1,1,1,1
30,1,1,1,1,1,1
31,1,1,1,1,1,1
32,0,0,0,0,0,0
33,0,1,0,1,1,0
34,1,0,1,1,0,1
35,1,1,1,1,1,1
36,1,0,1,1,0,0
37,0,0,0,0,0,0
38,1,1,1,1,1,1
39,0,0,0,0,0,0
40,1,1,1,1,1,1
41,0,1,0,0,1,0
42,1,0,0,1,1,1
43,1,1,1,1,0,1
44,1,0,1,1,1,1
45,1,1,0,1,1,0
46,1,1,1,1,1,0
47,1,1,1,1,1,1
48,1,0,1,1,0,1
49,0,0,0,1,0,0
50,1,0,0,0,0,0
51,1,1,1,1,0,1
52,0,0,0,0,0,0
53,1,1,1,1,1,0
54,0,0,0,0,1,1
55,0,0,1,0,1,0
56,1,1,0,1,1,1
57,1,0,1,1,1,1
58,1,1,1,0,1,0
59,0,0,0,1,0,0
60,0,0,1,0,1,0
61,0,0,1,0,0,0
62,1,0,1,0,0,1
63,0,0,0,0,0,0
64,1,1,1,1,1,1
65,1,1,1,1,1,1
66,1,0,1,1,0,1
67,1,1,1,1,1,1
68,1,0,1,1,1,1
69,0,1,1,1,1,1
70,0,0,0,0,0,0
71,1,1,1,1,1,1
72,1,1,1,1,1,0
73,1,0,0,1,0,0
74,1,0,1,1,0,1
75,0,0,0,0,0,0
76,1,1,1,1,1,1
77,0,0,0,1,0,0
78,1,0,1,1,0,1
79,1,0,1,1,0,1
80,0,1,1,1,1,0
81,0,0,0,1,0,0
82,1,1,1,1,1,0
83,1,1,1,1,1,1
84,1,1,1,1,1,1
85,1,0,1,1,0,1
86,0,1,0,0,1,0
87,1,0,0,1,0,0
88,1,0,1,1,1,1
89,1,1,1,1,1,1
90,1,1,1,1,1,1
91,0,0,0,0,1,0
92,1,1,1,1,1,1
93,0,0,0,0,0,0
94,1,0,1,1,1,1
95,0,0,0,1,1,0
96,1,1,1,1,0,1
97,0,0,0,1,1,0
98,1,1,1,1,1,0
99,0,1,1,1,1,0
100,1,1,1,1,1,1
101,1,0,1,1,1,1
102,1,0,1,1,1,1
103,1,0,0,1,1,0
104,1,0,1,1,1,1
105,1,1,1,1,1,1
106,1,0,1,1,0,0
107,1,1,0,0,0,1
108,0,0,1,0,1,1
109,1,0,1,1,1,0
110,1,0,1,1,1,1
111,1,1,1,1,1,1
112,1,1,1,1,0,1
113,1,0,1,1,0,0
114,1,1,1,1,1,1
115,1,0,1,1,0,0
116,0,0,0,1,1,0
117,1,1,1,1,1,1
118,0,0,1,1,0,0
119,1,0,0,1,0,0
120,1,0,1,1,1,1
121,1,1,0,0,1,0
122,0,0,1,1,0,1
123,0,0,0,0,0,0
124,0,0,0,1,0,0
125,0,0,0,0,0,0
126,1,0,1,1,1,1
127,1,0,1,1,1,1
128,1,1,1,1,1,0
129,1,1,1,1,1,1
130,1,1,1,1,1,1
131,1,0,1,1,1,0
132,1,1,1,1,1,1
133,1,0,0,1,0,0
134,0,1,1,1,0,1
135,1,1,0,1,0,0
136,1,1,1,1,1,1
137,1,0,1,1,0,1
138,0,0,0,0,0,0
139,1,0,1,1,1,1
140,1,0,1,1,1,1
141,1,1,1,1,1,1
142,1,0,1,1,1,1
143,1,1,1,1,1,1
144,1,0,1,1,0,0
145,1,1,1,1,1,1
146,0,0,1,1,0,0
147,1,1,1,1,1,1
148,1,0,1,1,1,1
149,1,0,1,1,1,1
150,1,1,1,1,1,0
151,0,0,0,0,0,0
152,1,0,1,1,0,1
153,0,0,1,1,1,0
154,0,0,0,1,0,0
155,0,1,0,1,1,0
156,0,0,0,0,0,0
157,1,1,0,1,0,0
158,1,1,1,1,0,1
159,0,0,1,0,0,0
160,1,0,1,0,0,1
161,0,0,1,0,0,0
162,0,1,1,1,1,1
163,0,1,1,1,1,0
164,0,1,0,0,0,0
165,1,0,1,1,1,1
166,1,0,1,1,1,1
167,1,1,0,1,1,0
168,1,1,1,1,1,1
169,1,0,1,1,1,1
170,0,0,0,0,0,0
171,1,0,1,1,1,1
172,1,1,0,1,1,0
173,1,1,1,1,1,1
174,1,1,0,1,1,0
175,1,0,1,1,1,1
176,0,0,0,0,0,0
177,1,0,1,1,1,1
178,1,1,1,1,1,0
179,1,1,1,1,1,1
180,1,1,1,1,1,1
181,1,0,1,1,1,1
182,0,0,1,1,1,0
183,1,0,1,0,0,0
184,1,0,1,1,0,1
185,1,0,1,1,0,0
186,0,0,1,0,0,0
187,1,1,1,1,1,1
188,0,0,1,1,0,0
189,1,1,1,1,1,1
190,1,1,1,1,1,1
191,0,1,1,0,0,1
192,1,1,1,1,1,1
193,1,0,1,1,1,0
194,1,1,1,1,0,0
195,0,0,0,0,0,0
196,1,0,0,0,1,0
197,1,1,1,1,1,1
198,1,0,1,1,1,1
199,0,0,1,0,0,1
200,1,1,1,1,1,1
201,1,1,1,1,1,0
202,1,1,1,1,1,1
203,1,0,0,0,0,1
204,1,0,0,0,1,0
205,1,0,1,1,1,1
206,0,0,0,0,0,0
207,1,1,1,1,0,1
208,1,0,0,0,0,0
209,1,0,1,1,1,1
210,1,1,0,1,1,1
211,0,0,0,0,0,0
212,1,0,1,1,1,1
213,0,0,0,0,0,0
214,0,0,0,0,0,1
215,1,0,1,1,1,0
216,1,0,1,1,0,1
217,0,0,1,1,1,1
218,1,0,1,1,1,1
219,1,0,1,1,1,1
220,1,1,1,1,1,1
221,1,1,1,1,1,1
222,1,0,0,1,0,1
223,1,1,1,1,1,1
224,1,1,1,1,1,1
225,0,1,0,0,0,1
226,1,1,1,1,1,1
227,1,0,1,1,0,1
228,1,1,1,1,1,0
229,1,1,1,1,0,0
230,1,1,1,1,1,1
231,1,0,0,1,0,1
232,1,1,1,1,1,1
233,1,1,1,1,1,1
234,1,1,1,1,1,1
235,0,0,1,1,1,0
236,0,0,0,0,0,1
237,1,1,1,1,1,1
238,1,1,1,1,1,1
239,1,1,1,1,1,1
240,1,0,1,1,1,1
241,1,1,1,1,1,1
